frequency_ghz,transfer_real,transfer_imaginary,transfer_magnitude_db
0.000000000000000000e+00,9.779329255712057023e-01,0.000000000000000000e+00,-1.938186313086031620e-01
1.037597656284184600e-01,9.792896292491556354e-01,3.881611822421871471e-04,-1.817762112989830814e-01
2.075195312568369199e-01,9.790284146019972988e-01,2.908417573221639806e-04,-1.840936841222682030e-01
3.112792968852554076e-01,9.790312104519647285e-01,1.340665338591296059e-04,-1.840691813540579480e-01
4.150390625136738398e-01,9.779539004481623277e-01,-3.109960692836410143e-05,-1.936323324296724269e-01
5.187988281420923276e-01,9.786984564432659184e-01,1.295317688583996719e-03,-1.870143251416475916e-01
6.225585937705108153e-01,9.803651214602332464e-01,3.207198177265994064e-03,-1.721964824761543500e-01
7.263183593989291920e-01,9.815967530400067087e-01,4.589690753953668055e-04,-1.613367875844123611e-01
8.300781250273476797e-01,9.806520364053750161e-01,4.038144316429688246e-04,-1.697005732110123954e-01
9.338378906557661674e-01,9.797192974784004749e-01,1.166048525898715892e-03,-1.779605998694384628e-01
1.037597656284184655e+00,9.787958593520291739e-01,1.226777317415535338e-03,-1.861507083647296890e-01
1.141357421912603032e+00,9.791114041724494621e-01,4.518009946497815693e-04,-1.833568946779355335e-01
1.245117187541021631e+00,9.804373659937068997e-01,5.105085947504549521e-04,-1.716017318482655762e-01
1.348876953169440007e+00,9.814759583947806343e-01,5.983209088567290838e-04,-1.624050686902951957e-01
1.452636718797858384e+00,9.825241474442475420e-01,-1.124735769663851964e-04,-1.531352868636995102e-01
1.556396484426276983e+00,9.828109995609715099e-01,1.953174759697815465e-04,-1.505996598216048921e-01
1.660156250054695359e+00,9.831706367144823489e-01,-3.779279889822131965e-04,-1.474213688359283791e-01
1.763916015683113736e+00,9.843990824980793919e-01,1.389425030565214110e-03,-1.365673430959851442e-01
1.867675781311532335e+00,9.826640598572269347e-01,2.295934510157703751e-03,-1.518748446955130171e-01
1.971435546939950711e+00,9.841313530311446289e-01,1.507790236564167516e-04,-1.389385373675539048e-01
2.075195312568369310e+00,9.847267404730640772e-01,-1.012103384019645737e-04,-1.336853252703589789e-01
2.178955078196787909e+00,9.840303737893439928e-01,5.011222556538204916e-04,-1.398287960164637522e-01
2.282714843825206064e+00,9.839559125474744983e-01,3.698910283151642998e-04,-1.404865917503452244e-01
2.386474609453624662e+00,9.842614137445904188e-01,9.533293513100772132e-04,-1.377867321314064641e-01
2.490234375082043261e+00,9.851460752859411141e-01,-6.326587987986583765e-05,-1.299873520951378147e-01
2.593994140710461416e+00,9.868287992003680342e-01,4.207194158895702948e-04,-1.151629051848831187e-01
2.697753906338880014e+00,9.856666530402138360e-01,-4.443822702372281588e-04,-1.253978412001790499e-01
2.801513671967298613e+00,9.873905473277222455e-01,-1.951862988889903715e-05,-1.102206936215209682e-01
2.905273437595716768e+00,9.878168642224979257e-01,2.386091391926461840e-04,-1.064710214434624047e-01
3.009033203224135367e+00,9.873836205419378453e-01,9.243900201914237056e-04,-1.102778226957901037e-01
3.112792968852553965e+00,9.899477930950622007e-01,6.313997498345310993e-04,-8.775239725694265747e-02
3.216552734480972120e+00,9.931939626100155794e-01,1.414969229427076158e-03,-5.930976690285735820e-02
3.320312500109390719e+00,9.936960748396915788e-01,-2.500286456045684616e-04,-5.492823837393404074e-02
3.424072265737809317e+00,9.929346548739261813e-01,-2.078984011593695488e-03,-6.156759151650768869e-02
3.527832031366227472e+00,9.940596815752447135e-01,-1.220497348994099082e-05,-5.175081037877042600e-02
3.631591796994646071e+00,9.929655338873684123e-01,-1.100777299980135616e-03,-6.131117731542023302e-02
3.735351562623064670e+00,9.944449764685718840e-01,1.339028398472031766e-03,-4.837696143137934501e-02
3.839111328251482824e+00,9.947288606286640578e-01,2.336849106281380616e-03,-4.588166072388245170e-02
3.942871093879901423e+00,9.958210778117145834e-01,1.483434066845712830e-03,-3.636407408186755758e-02
4.046630859508320022e+00,9.947193132025461404e-01,1.236618809980327477e-03,-4.598228459154253545e-02
4.150390625136738620e+00,9.951015138689938144e-01,1.088915576636997678e-03,-4.264706076795933554e-02
4.254150390765156331e+00,9.988345061338104180e-01,-1.037289431185390610e-03,-1.012457125061421055e-02
4.357910156393575818e+00,9.999854122662911182e-01,-2.154731841035262274e-03,-1.065441025723505445e-04
4.461669922021993528e+00,9.987584174600649956e-01,5.559489662621740170e-04,-1.078960357923744451e-02
4.565429687650412127e+00,1.001207356268027926e+00,7.388235377079701606e-04,1.048300256462296812e-02
4.669189453278830726e+00,1.002113730191857899e+00,3.709976032990129104e-03,1.839977446646403128e-02
4.772949218907249325e+00,1.002174821193727805e+00,2.265753588027281506e-03,1.889194353516705088e-02
4.876708984535667035e+00,1.004119700147556582e+00,2.364983980606350650e-03,3.573384624525710596e-02
4.980468750164086522e+00,1.006061587568648941e+00,1.387425214533513640e-03,5.249960993559442402e-02
5.084228515792504233e+00,1.005508636107656617e+00,1.180227990045809496e-03,4.772208364947289061e-02
5.187988281420922831e+00,1.005859133849331233e+00,9.803710306359794940e-04,5.074740453463896100e-02
5.291748047049341430e+00,1.009091345764008940e+00,9.420906065000116993e-04,7.861341666344920376e-02
5.395507812677760029e+00,1.010251326630529967e+00,-4.914321275824762476e-04,8.858961600773186673e-02
5.499267578306177739e+00,1.011212583656437625e+00,-1.412591359414799505e-03,9.685778259120234046e-02
5.603027343934597226e+00,1.010367745306989917e+00,-2.678333317918240534e-03,8.961998728734098252e-02
5.706787109563014937e+00,1.013549685430300773e+00,2.217015655130659922e-03,1.169216431130344069e-01
5.810546875191433536e+00,1.012793058177691385e+00,2.706612437655552591e-03,1.104453359416163738e-01
5.914306640819852134e+00,1.014453190575536734e+00,1.299981263178322634e-03,1.246473795332030954e-01
6.018066406448270733e+00,1.016190994824497595e+00,1.867892275267005924e-03,1.395215137101853409e-01
6.121826172076688444e+00,1.019924001687446458e+00,1.792045628352441616e-03,1.713696490118983284e-01
6.225585937705107931e+00,1.019745029658478908e+00,2.860807639110097243e-03,1.698661243387809827e-01
6.329345703333525641e+00,1.018698685103334833e+00,1.700042393333711221e-03,1.609270069283179616e-01
6.433105468961944240e+00,1.019475491981859383e+00,2.049622699464098696e-03,1.675533515422087949e-01
6.536865234590362839e+00,1.021967772496310101e+00,1.448660973602990815e-03,1.887527394460880859e-01
6.640625000218781437e+00,1.023284821096013042e+00,4.989520906907745409e-04,1.999316738246527669e-01
6.744384765847200036e+00,1.024538172835431915e+00,9.067361042674917763e-04,2.105662863202771851e-01
6.848144531475618635e+00,1.023057209598779993e+00,1.133908633955979604e-03,1.980037398799075754e-01
6.951904297104037234e+00,1.026726131398437492e+00,2.401712869849809227e-03,2.291160732629110852e-01
7.055664062732454944e+00,1.026813228410587309e+00,1.803211550996175428e-03,2.298424943204692150e-01
7.159423828360874431e+00,1.029223145278203688e+00,2.501139554835159033e-03,2.502165293511119382e-01
7.263183593989292142e+00,1.033554088625426859e+00,1.989253519410143223e-03,2.866802746177301575e-01
7.366943359617710740e+00,1.034817256015357456e+00,4.124034635802460648e-04,2.972739327463044257e-01
7.470703125246129339e+00,1.033534294678440268e+00,8.244331074020999758e-04,2.865006021723743301e-01
7.574462890874547938e+00,1.035001538342609440e+00,3.054660251678891544e-03,2.988577349940317873e-01
7.678222656502965648e+00,1.036464246469847694e+00,3.424804423728276034e-03,3.111339263455158988e-01
7.781982422131385135e+00,1.038223160183503913e+00,2.030457582096793345e-03,3.258308644463020487e-01
7.885742187759802846e+00,1.041029711478936415e+00,2.729545790161404077e-03,3.492923495280214619e-01
7.989501953388221445e+00,1.044464726337146043e+00,3.883587708027020670e-03,3.779355940830269045e-01
8.093261719016640043e+00,1.043510407386362138e+00,-8.601854132626918269e-04,3.699386476809177760e-01
8.197021484645057754e+00,1.046760678117434784e+00,9.195110603813346157e-05,3.969480309170859145e-01
8.300781250273477241e+00,1.048860933854534494e+00,5.115304067374377983e-03,4.144614940139801917e-01
8.404541015901894951e+00,1.048372348507050411e+00,2.923636377521704726e-03,4.103449278262395472e-01
8.508300781530312662e+00,1.050812722224838902e+00,2.964169689994139521e-03,4.305410004357004272e-01
8.612060547158732149e+00,1.050787264943302990e+00,3.234496218651147000e-03,4.303371635760744884e-01
8.715820312787151636e+00,1.051732125587402367e+00,4.412596533613683154e-03,4.381792431648146580e-01
8.819580078415569346e+00,1.053717766218270846e+00,1.805750078971098170e-03,4.544988048945770021e-01
8.923339844043987057e+00,1.054992021220007015e+00,3.869085585423842079e-04,4.649840866863810818e-01
9.027099609672404767e+00,1.055824059634315359e+00,-4.267901337421121911e-04,4.718317952490835299e-01
9.130859375300824254e+00,1.058852039391199318e+00,3.896240731258856886e-03,4.967643518050674500e-01
9.234619140929243741e+00,1.062380428350244044e+00,2.777844690648078024e-03,5.256309185333252199e-01
9.338378906557661452e+00,1.063202051419862126e+00,-5.669063552720261497e-04,5.323173526402860123e-01
9.442138672186079162e+00,1.066728127806839899e+00,4.055283552879166244e-05,5.610749432512214252e-01
9.545898437814498649e+00,1.064764031943715494e+00,1.867577960526999774e-03,5.450808031251609398e-01
9.649658203442916360e+00,1.066488928911661249e+00,1.848450421142333426e-03,5.591400753179280869e-01
9.753417969071334070e+00,1.070979111524331007e+00,2.415993258063220059e-03,5.956421089306304095e-01
9.857177734699753557e+00,1.072256703374783404e+00,4.920479904505874018e-03,6.060668523679456632e-01
9.960937500328173044e+00,1.072924790235198822e+00,3.085961404139888568e-03,6.114215254438684077e-01
1.006469726595659075e+01,1.075867125385533640e+00,4.499169515639099039e-03,6.352486949421937146e-01
1.016845703158500847e+01,1.078361280217588369e+00,4.657672437197479462e-03,6.553667322273282192e-01
1.027221679721342795e+01,1.082600142549812627e+00,3.032185047311977428e-03,6.893956676825230279e-01
1.037597656284184566e+01,1.082134733543281602e+00,1.999518635263826394e-03,6.856415659918436711e-01
1.047973632847026515e+01,1.080550281839102844e+00,2.756501240793676841e-03,6.729278814759399596e-01
1.058349609409868286e+01,1.083374554426631997e+00,3.293831792238462869e-03,6.956127637501814398e-01
1.068725585972710235e+01,1.088868610447419227e+00,3.809963472687563114e-03,7.395627364193075870e-01
1.079101562535552006e+01,1.089985808311715765e+00,3.211872995703430895e-03,7.484545787645504600e-01
1.089477539098393777e+01,1.090104664234732734e+00,1.368249170908115986e-03,7.493707992161412479e-01
1.099853515661235548e+01,1.092105456785155582e+00,1.680965677502511101e-03,7.653018308701432515e-01
1.110229492224077674e+01,1.092242528343004615e+00,3.518787587134140568e-04,7.663821013859890563e-01
1.120605468786919445e+01,1.095882396015658067e+00,2.458361446102057691e-03,7.953008665624712314e-01
1.130981445349761216e+01,1.097181579946375551e+00,4.505397568716638414e-03,8.056433867938370685e-01
1.141357421912602987e+01,1.099115041119733238e+00,4.218549301894457607e-03,8.209269990100829251e-01
1.151733398475444936e+01,1.102973531155156062e+00,2.127992642978907088e-03,8.513179754623898532e-01
1.162109375038286707e+01,1.103949050683312283e+00,2.955056591980678628e-03,8.590117253671785136e-01
1.172485351601128656e+01,1.107013428607010574e+00,4.454457796362198616e-03,8.831280999549416810e-01
1.182861328163970427e+01,1.111239819865887934e+00,7.414643197903604370e-03,9.163492559260365544e-01
