//DATASET,
//created,Tue, 07 Jul 2026 14:25:05 GMT

//TRACE,Waveform,Input 1
//SampledBand
#Time,Amplitude
#(ns),(a.u.)
0,0.001
0.0006,0.001
0.0012,0.0011
0.0018,0.0011
0.0024,0.0012
0.0029,0.0012
0.0035,0.0012
0.0041,0.0012
0.0047,0.0012
0.0053,0.0012
0.0059,0.0011
0.0065,0.001
0.0071,0.001
0.0076,0.0009
0.0082,0.0008
0.0088,0.0007
0.0094,0.0006
0.01,0.0005
0.0106,0.0004
0.0112,0.0003
0.0118,0.0002
0.0124,0.0002
0.0129,0.0001
0.0135,0.0001
0.0141,0.0001
0.0147,0.0001
0.0153,0.0001
0.0159,0.0001
0.0165,0.0001
0.0171,0.0001
0.0176,0.0001
0.0182,0.0001
0.0188,0.0002
0.0194,0.0002
0.02,0.0002
0.0206,0.0003
0.0212,0.0003
0.0218,0.0004
0.0224,0.0004
0.0229,0.0005
0.0235,0.0006
0.0241,0.0006
0.0247,0.0007
0.0253,0.0008
0.0259,0.0009
0.0265,0.001
0.0271,0.0011
0.0276,0.0012
0.0282,0.0013
0.0288,0.0014
0.0294,0.0015
0.03,0.0016
0.0306,0.0017
0.0312,0.0017
0.0318,0.0017
0.0324,0.0017
0.0329,0.0017
0.0335,0.0017
0.0341,0.0017
0.0347,0.0016
0.0353,0.0016
0.0359,0.0015
0.0365,0.0014
0.0371,0.0013
0.0376,0.0012
0.0382,0.0011
0.0388,0.001
0.0394,0.0009
0.04,0.0009
0.0406,0.0008
0.0412,0.0007
0.0418,0.0006
0.0424,0.0005
0.0429,0.0005
0.0435,0.0004
0.0441,0.0004
0.0447,0.0003
0.0453,0.0003
0.0459,0.0002
0.0465,0.0002
0.0471,0.0001
0.0476,0.0001
0.0482,0.0001
0.0488,0
0.0494,0
0.05,0
0.0506,0
0.0512,0
0.0518,0.0001
0.0524,0.0001
0.0529,0.0002
0.0535,0.0003
0.0541,0.0004
0.0547,0.0005
0.0553,0.0006
0.0559,0.0008
0.0565,0.0009
0.0571,0.001
0.0576,0.0012
0.0582,0.0013
0.0588,0.0014
0.0594,0.0015
0.06,0.0016
0.0606,0.0017
0.0612,0.0017
0.0618,0.0018
0.0624,0.0018
0.0629,0.0018
0.0635,0.0018
0.0641,0.0018
0.0647,0.0018
0.0653,0.0018
0.0659,0.0018
0.0665,0.0018
0.0671,0.0018
0.0676,0.0018
0.0682,0.0017
0.0688,0.0017
0.0694,0.0017
0.07,0.0017
0.0706,0.0017
0.0712,0.0017
0.0718,0.0017
0.0724,0.0017
0.0729,0.0017
0.0735,0.0017
0.0741,0.0017
0.0747,0.0017
